epx: 12.137, epy: 13.635, epv: 46.896, ept: 0.005, eps: 28.12, longitude: 15.646591667, epc: nan, track: 109.08, mode: 3, time: 1418940649.0, latitude: 58.375663333, climb: 0.0, epd: nan, speed: 0.057, altitude: 70.2
epx: 12.137, epy: 13.635, epv: 20.01, ept: 0.005, eps: 27.27, longitude: 15.64659, epc: nan, track: 109.08, mode: 3, time: 2014-12-18T22:10:50.000Z, latitude: 58.375663333, climb: 0.0, epd: nan, speed: 0.093, altitude: 70.2
epx: 12.137, epy: 13.635, epv: 20.01, ept: 0.005, eps: 27.27, longitude: 15.646588333, epc: nan, track: 109.08, mode: 3, time: 1418940651.0, latitude: 58.375663333, climb: 0.0, epd: nan, speed: 0.077, altitude: 70.2
epx: 12.137, epy: 13.635, epv: 20.01, ept: 0.005, eps: 27.27, longitude: 15.646586667, epc: nan, track: 109.08, mode: 3, time: 2014-12-18T22:10:52.000Z, latitude: 58.375663333, climb: 0.0, epd: nan, speed: 0.062, altitude: 70.2
epx: 12.137, epy: 13.635, epv: 20.01, ept: 0.005, eps: 27.27, longitude: 15.646586667, epc: nan, track: 109.08, mode: 3, time: 2014-12-18T22:10:52.000Z, latitude: 58.375663333, climb: 0.0, epd: nan, speed: 0.062, altitude: 70.2
epx: 12.137, epy: 13.635, epv: 20.01, ept: 0.005, eps: 27.27, longitude: 15.646586667, epc: nan, track: 109.08, mode: 3, time: 1418940653.0, latitude: 58.375663333, climb: 0.1, epd: nan, speed: 0.051, altitude: 70.3
epx: 12.137, epy: 13.635, epv: 46.896, ept: 0.005, eps: 27.27, longitude: 15.646586667, epc: nan, track: 109.08, mode: 3, time: 2014-12-18T22:10:54.000Z, latitude: 58.375663333, climb: 0.0, epd: nan, speed: 0.021, altitude: 70.3
epx: 12.137, epy: 13.635, epv: 20.01, ept: 0.005, eps: 27.27, longitude: 15.646586667, epc: nan, track: 109.08, mode: 3, time: 1418940655.0, latitude: 58.375663333, climb: 0.0, epd: nan, speed: 0.087, altitude: 70.3
epx: 12.137, epy: 13.635, epv: 20.01, ept: 0.005, eps: 27.27, longitude: 15.646586667, epc: nan, track: 109.08, mode: 3, time: 2014-12-18T22:10:56.000Z, latitude: 58.375661667, climb: -0.1, epd: nan, speed: 0.118, altitude: 70.2
epx: 12.137, epy: 13.635, epv: 20.01, ept: 0.005, eps: 27.27, longitude: 15.646586667, epc: nan, track: 109.08, mode: 3, time: 1418940657.0, latitude: 58.375661667, climb: 0.0, epd: nan, speed: 0.165, altitude: 70.2
epx: 12.137, epy: 13.635, epv: 20.01, ept: 0.005, eps: 27.27, longitude: 15.646586667, epc: nan, track: 109.08, mode: 3, time: 1418940657.0, latitude: 58.375661667, climb: 0.0, epd: nan, speed: 0.165, altitude: 70.2
epx: 12.137, epy: 13.635, epv: 20.01, ept: 0.005, eps: 27.27, longitude: 15.646588333, epc: nan, track: 109.08, mode: 3, time: 2014-12-18T22:10:58.000Z, latitude: 58.37566, climb: 0.0, epd: nan, speed: 0.19, altitude: 70.2
epx: 12.188, epy: 13.627, epv: 46.844, ept: 0.005, eps: 27.26, longitude: 15.646588333, epc: nan, track: 109.08, mode: 3, time: 1418940659.0, latitude: 58.375658333, climb: 0.0, epd: nan, speed: 0.159, altitude: 70.2
epx: 12.188, epy: 13.627, epv: 20.01, ept: 0.005, eps: 27.25, longitude: 15.64659, epc: nan, track: 109.08, mode: 3, time: 2014-12-18T22:11:00.000Z, latitude: 58.375656667, climb: 0.0, epd: nan, speed: 0.175, altitude: 70.2
epx: 12.188, epy: 13.627, epv: 20.01, ept: 0.005, eps: 27.25, longitude: 15.646591667, epc: nan, track: 109.08, mode: 3, time: 1418940661.0, latitude: 58.375655, climb: 0.0, epd: nan, speed: 0.165, altitude: 70.2
epx: 12.188, epy: 13.627, epv: 20.01, ept: 0.005, eps: 27.25, longitude: 15.646591667, epc: nan, track: 109.08, mode: 3, time: 2014-12-18T22:11:02.000Z, latitude: 58.375653333, climb: 0.0, epd: nan, speed: 0.17, altitude: 70.2
epx: 12.188, epy: 13.627, epv: 20.01, ept: 0.005, eps: 27.25, longitude: 15.646591667, epc: nan, track: 109.08, mode: 3, time: 2014-12-18T22:11:02.000Z, latitude: 58.375653333, climb: 0.0, epd: nan, speed: 0.17, altitude: 70.2
epx: 12.188, epy: 13.627, epv: 20.01, ept: 0.005, eps: 27.25, longitude: 15.646593333, epc: nan, track: 109.08, mode: 3, time: 1418940663.0, latitude: 58.375653333, climb: 0.0, epd: nan, speed: 0.098, altitude: 70.2
epx: 12.233, epy: 13.657, epv: 46.639, ept: 0.005, eps: 27.28, longitude: 15.646593333, epc: nan, track: 109.08, mode: 3, time: 2014-12-18T22:11:04.000Z, latitude: 58.375651667, climb: 0.0, epd: nan, speed: 0.046, altitude: 70.2
epx: 12.233, epy: 13.657, epv: 20.01, ept: 0.005, eps: 27.31, longitude: 15.646593333, epc: nan, track: 109.08, mode: 3, time: 1418940665.0, latitude: 58.375651667, climb: 0.0, epd: nan, speed: 0.067, altitude: 70.2
epx: 12.233, epy: 13.657, epv: 20.01, ept: 0.005, eps: 27.31, longitude: 15.646591667, epc: nan, track: 109.08, mode: 3, time: 2014-12-18T22:11:06.000Z, latitude: 58.37565, climb: 0.0, epd: nan, speed: 0.118, altitude: 70.2
